"Dossier Number"	"Designation"	"Country"	"ISO"	"Status"	"Type"	"Last relevant date"	"Latin Transcription"	"Submission date"	"Publication date"	"Registration date"	"1st Amendment date"	"2nd Amendment date"	"3rd Amendment date"
"PL/PGI/0005/00835"	"Ser koryciński swojski"	"Poland"	"PL"	"Published"	"PGI"	"25/11/2011"		"18/10/2010"	"25/11/2011"				
"GB/PGI/0005/00908"	"Orkney Island Cheddar"	"United Kingdom"	"GB"	"Applied"	"PGI"	"03/11/2011"		"03/11/2011"					
"IT/PDO/0005/00823"	"Nostrano  Valtrompia"	"Italy"	"IT"	"Published"	"PDO"	"15/10/2011"		"22/09/2010"	"15/10/2011"				
"IT/PDO/0005/0794"	"Squacquerone di Romagna"	"Italy"	"IT"	"Published"	"PDO"	"15/10/2011"		"04/12/2009"	"15/10/2011"				
"DE/PDO/0005/00905"	"Allgäuer Sennalpkäse"	"Germany"	"DE"	"Applied"	"PDO"	"11/10/2011"		"11/10/2011"					
"ES/PDO/0005/0718"	"Queso Casín"	"Spain"	"ES"	"Registered"	"PDO"	"05/10/2011"		"04/09/2008"	"26/11/2010"	"05/10/2011"			
"SI/PDO/0005/0421"	"Nanoški sir"	"Slovenia"	"SI"	"Registered"	"PDO"	"05/10/2011"		"29/10/2004"	"15/12/2010"	"05/10/2011"			
"BE/PGI/0005/00893"	"Boulette de Nivelles"	"Belgium"	"BE"	"Applied"	"PGI"	"19/09/2011"		"19/09/2011"					
"GB/PGI/0005/00889"	"Traditional Ayrshire Dunlop"	"United Kingdom"	"GB"	"Applied"	"PGI"	"30/08/2011"		"30/08/2011"					
"FR/PDO/0217/0121"	"Langres"	"France"	"FR"	"Published"	"PDO"	"25/08/2011"		"07/07/2009"	"25/08/2011"				
"EL/PDO/0005/0731"	"Ξύγαλο Σητείας / Ξίγαλο Σητείας"	"Greece"	"GR"	"Registered"	"PDO"	"03/08/2011"	"Xygalo Siteias / Xigalo Siteias"	"24/11/2008"	"17/11/2010"	"03/08/2011"			
"SI/PDO/0005/0422"	"Tolminc"	"Slovenia"	"SI"	"Published"	"PDO"	"25/06/2011"		"29/10/2004"	"25/06/2011"				
"FR/PDO/0117/0126"	"Neufchâtel"	"France"	"FR"	"Published"	"PDO"	"30/04/2011"		"16/03/2006"	"30/04/2011"				
"IT/PDO/0005/0639"	"Salva Cremasco"	"Italy"	"IT"	"Published"	"PDO"	"27/04/2011"		"30/07/2007"	"27/04/2011"				
"IT/PDO/0005/0524"	"Formaggella del Luinese"	"Italy"	"IT"	"Registered"	"PDO"	"16/04/2011"		"17/02/2006"	"14/08/2010"	"16/04/2011"			
"LT/PGI/0005/00868"	"Liliputas"	"Lithuania"	"LT"	"Applied"	"PGI"	"14/03/2011"		"14/03/2011"					
"SK/PGI/0005/0656"	"Zázrivský korbáčik"	"Slovakia"	"SK"	"Registered"	"PGI"	"12/03/2011"		"30/10/2007"	"13/07/2010"	"12/03/2011"			
"SK/PGI/0005/0693"	"Tekovský salámový syr "	"Slovakia"	"SK"	"Registered"	"PGI"	"12/03/2011"		"14/04/2008"	"24/07/2010"	"12/03/2011"			
"SK/PGI/0005/0774"	"Oravský korbáčik "	"Slovakia"	"SK"	"Registered"	"PGI"	"12/03/2011"		"04/05/2009"	"13/07/2010"	"12/03/2011"			
