"name"	"category_name"	"alternative_names"	"name_en"	"milk_source"	"milk_type"	"curd"	"pasteurized"	"texture"	"aging"	"geographical_indication"	"dbpedia"	"images"	"country"	"region"	"province"	"comune"	"location"	"similar"	"use"	"rind"	"shape"	"diameter"	"weight"	"height"	"cookipedia"	"bbc"
"Roomy"													"Egypt"													
"Domyati"													"Egypt"													
"Areesh"													"Egypt"													
"Mesh"													"Egypt"													
"Ayib"													"Ethiopia"													
"Caravane"													"Mauritania"													
"Bokmakiri"													"South Africa"													
"Kwaito"													"South Africa"													
"Wara"													"Nigeria"													
"Lori"													"Armenia"													
"Chhena"													"Bangladesh"													
"Rubing"													"China"													
"Rushan"													"China"													
"Nguri"													"China"													
"Chura kampo"													"China"													
"Chura loenpa"													"China"													
"Chhurpi"													"China"													
"Suluguni"													"Georgia"													
"Bandel"													"India"													
"Paneer"													"India"													
"Chhena"													"India"													
"Khoa"													"India"													
"Kalari"		"Kiladi, Maish Krej"											"India"													
"Lighvan"													"Iran"													
"Sakura"													"Japan"													
"Labneh"													"Middle East"													
"Akkawi"													"Middle East"													
"Basket"													"Middle East"													
"Labneh"													"Middle East"													
"Jameed"													"Middle East"													
"Jibneh Arabieh"													"Middle East"													
"kashkawan"													"Middle East"													
"kashta"													"Middle East"													
"Majdoule"													"Middle East"													
"Nabulsi"													"Middle East"													
"Paneer"													"Middle East"													
"Shanklish"													"Middle East"													
"Syrian"													"Middle East"													
"Byaslag"													"Mongolia"													
"Flower of Rajya"													"Nepal"													
"Kesong"		"Quesong Puti"											"Philippines"													
"Imsil"													"South Korea"													
"Bachensteiner"													"Austria"													
"Bergkäse"													"Austria"													
"Brimsen"		"Bryndza"											"Austria"													
"Gelundener Käse"													"Austria"													
"Lüneberg"													"Austria"													
"Montafoner Sauerkäse"													"Austria"													
"Mondseer"													"Austria"													
"Staazer"													"Austria"													
"Steirerkäse"													"Austria"													
"Tiroler Graukäse"													"Austria"													
"Tyrolean grey"													"Austria"													
"Brussels"													"Belgium"													
"Chimay"													"Belgium"													
"Grevenbroeker"													"Belgium"													
"Herve"													"Belgium"													
"Le Wavreumont"													"Belgium"													
"Limburger"													"Belgium"													
"Maredsous"													"Belgium"													
"Mekkerbek"													"Belgium"													
"Passendale"													"Belgium"													
"Remoudou"													"Belgium"													
"Rodoric"													"Belgium"													
"Livno"													"Bosnia and Herzegovina"													
"Kashkaval"													"Bulgaria"													
"Sirene"													"Bulgaria"													
"Cherni Vit green"													"Bulgaria"													
"Krema"													"Bulgaria"													
"Dunavia"													"Bulgaria"													
"Anari"													"Cyprus"													
"Halloumi, Hellim"													"Cyprus"													
"Kefalotyri"													"Cyprus"													
"Paški sir"													"Croatia"													
"Škripavac"													"Croatia"													
"Tounjski sir"													"Croatia"													
"Dimsi"													"Croatia"													
